Series Name;Series Code;Country Name;Country Code;2017;2018;2019;2020;2021
GDP (current US$);NY.GDP.MKTP.CD;China;CHN;12310409370894.2;13894817549380.3;1,42799E+13;1,46877E+13;17734062645371.4
GDP (current US$);NY.GDP.MKTP.CD;Colombia;COL;311.883.730.690.129;334.198.214.706.209;323.109.543.324.321;270299982887.01;314.322.453.228.295
GDP (current US$);NY.GDP.MKTP.CD;Comoros;COM;10.774.396.625.798;118.879.757.494.753;119.501.955.909.381;122.387.606.452.345;132.796.424.932.649
GDP (current US$);NY.GDP.MKTP.CD;Congo, Dem. Rep.;COD;380.192.656.258.845;475.682.100.684.862;517.758.307.258.263;487.169.608.600.664;539.585.736.930.513
GDP (current US$);NY.GDP.MKTP.CD;Congo, Rep.;COG;110.948.236.765.914;136.700.380.198.594;127.503.387.361.661;104.831.510.936.873;125.239.616.772.966
GDP (current US$);NY.GDP.MKTP.CD;Costa Rica;CRI;605.160.435.901.832;624.201.650.997.231;644.176.700.826.127;621.580.022.330.279;64.282.438.666.739
GDP (current US$);NY.GDP.MKTP.CD;Cote d'Ivoire;CIV;515.881.587.175.348;580.114.664.508.643;585.394.249.297.248;613.485.794.651.017;697.648.274.674.423
GDP (current US$);NY.GDP.MKTP.CD;Croatia;HRV;56214427431.2;622.478.749.488.225;622.462.063.405.469;572.037.832.030.259;678.377.885.435.852
GDP (current US$);NY.GDP.MKTP.CD;Cuba;CUB;96851000000;1,0005E+11;1,03428E+11;1,07352E+11;..
GDP (current US$);NY.GDP.MKTP.CD;Curacao;CUW;300.949.720.670.391;302.038.881.727.231;299.518.548.730.261;249.617.473.564.702;..
GDP (current US$);NY.GDP.MKTP.CD;Cyprus;CYP;228.708.337.098.961;255.226.712.328.767;257.583.577.745.438;246.920.959.451.742;277.193.376.700.177
GDP (current US$);NY.GDP.MKTP.CD;Czech Republic;CZE;218.628.940.951.675;248.950.103.352.137;252.498.032.247.163;245.339.322.066.759;282.340.849.856.614
GDP (current US$);NY.GDP.MKTP.CD;Denmark;DNK;332.121.063.806.391;356.841.216.410.068;347.561.349.210.979;356.084.867.685.639;397.104.343.478.301
GDP (current US$);NY.GDP.MKTP.CD;Djibouti;DJI;276.258.133.422.612;291.346.673.212.507;308.885.363.856.832;31.810.711.536.622;337.110.212.351.343
GDP (current US$);NY.GDP.MKTP.CD;Dominica;DMA;521.551.851.851.852;55.477.037.037.037;611.537.037.037.037;504.214.814.814.815;545.618.518.518.518
GDP (current US$);NY.GDP.MKTP.CD;Dominican Republic;DOM;799.979.756.218.654;855.553.780.428.196;889.412.997.335.018;788.447.023.290.785;942.434.539.374.462
GDP (current US$);NY.GDP.MKTP.CD;Ecuador;ECU;1,04296E+11;1,07562E+11;1,08108E+11;99291124000;1,06166E+11
GDP (current US$);NY.GDP.MKTP.CD;Egypt, Arab Rep.;EGY;235.733.695.652.174;249.712.999.437.254;303.080.865.603.645;365.252.651.278.852;404.142.766.093.053
GDP (current US$);NY.GDP.MKTP.CD;El Salvador;SLV;24979190000;26020850000;26896660000;24638720000;28736940000
GDP (current US$);NY.GDP.MKTP.CD;Equatorial Guinea;GNQ;122.009.128.283.695;130.970.112.084.602;113.641.341.086.175;100.991.572.698.025;122.693.927.887.402
GDP (current US$);NY.GDP.MKTP.CD;Eritrea;ERI;..;..;..;..;..
GDP (current US$);NY.GDP.MKTP.CD;Estonia;EST;269.243.851.030.659;304.895.009.048.564;310.455.917.534.901;306.502.854.717.215;362.629.243.536.041
GDP (current US$);NY.GDP.MKTP.CD;Eswatini;SWZ;440.296.922.592.165;466.678.461.759.585;446.606.655.737.957;398.484.058.040.634;494.137.318.208.261
